Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),DistrictHeating:HVAC [J](Hourly),DistrictCooling:HVAC [J](Hourly) 
 01/09  07:00:00,10197044.043077227,0.0,10197044.043077227,0.0 
 01/09  08:00:00,9744446.032225127,0.0,9744446.032225127,0.0 
 01/09  09:00:00,10243382.23955819,0.0,10243382.239558189,0.0 
 01/09  10:00:00,10084855.893610053,0.0,10084855.893610053,0.0 
 01/09  11:00:00,9778538.201027357,0.0,9778515.696700799,0.0 
 01/09  12:00:00,8899835.933772864,0.0,8899744.324980203,0.0 
 01/09  13:00:00,8677008.380583654,0.0,8677008.380583654,0.0 
 01/09  14:00:00,9007534.725659688,0.0,9007522.125920885,0.0 
 01/09  15:00:00,9011794.907243606,0.0,9011783.415910824,0.0 
 01/09  16:00:00,9105771.289351086,0.0,9105771.289351086,0.0 
 01/09  17:00:00,8861844.823551925,0.0,8861838.056185177,0.0 
 01/09  18:00:00,9028016.852679275,0.0,9028016.852679275,0.0 
 01/09  19:00:00,9517164.287511593,0.0,9517164.287511595,0.0 
 01/09  20:00:00,9487980.76809938,0.0,9487980.768099379,0.0 
 01/09  21:00:00,10168814.565559684,0.0,10168814.565559682,0.0 
 01/09  22:00:00,10289949.499214869,0.0,10289949.499214869,0.0 
 01/09  23:00:00,10553723.407225436,0.0,10553723.407225436,0.0 
 01/09  24:00:00,11133825.14229109,0.0,11133825.14229109,0.0 
 01/10  01:00:00,11298405.408581337,0.0,11298405.408581336,0.0 
 01/10  02:00:00,11472920.337327876,0.0,11472920.337327877,0.0 
 01/10  03:00:00,11693288.55162129,0.0,11693288.551621288,0.0 
 01/10  04:00:00,11949349.768253074,0.0,11949349.768253074,0.0 
 01/10  05:00:00,12194618.992975627,0.0,12194618.992975625,0.0 
 01/10  06:00:00,12423967.271021393,0.0,12423967.271021393,0.0 
 01/10  07:00:00,12068802.430901334,0.0,12068802.430901332,0.0 
 01/10  08:00:00,11801090.755969366,0.0,11801090.755969366,0.0 
 01/10  09:00:00,12382144.487819098,0.0,12382144.487819098,0.0 
 01/10  10:00:00,11914678.955077868,0.0,11914678.955077872,0.0 
 01/10  11:00:00,11031809.575229202,0.0,11031809.575229204,0.0 
 01/10  12:00:00,9748888.928276264,0.0,9748930.949104384,0.0 
 01/10  13:00:00,9196738.692295205,0.0,9196738.692295205,0.0 
 01/10  14:00:00,9017351.710649915,0.0,9017351.710649914,0.0 
 01/10  15:00:00,8562653.405669736,0.0,8562651.166578358,0.0 
 01/10  16:00:00,8443207.85727682,0.0,8443207.857276822,0.0 
 01/10  17:00:00,8436952.144649309,0.0,8436954.958055905,0.0 
 01/10  18:00:00,8765056.847858435,0.0,8765056.847858433,0.0 
 01/10  19:00:00,9360895.764876401,0.0,9360895.764876403,0.0 
 01/10  20:00:00,9469882.50130642,0.0,9469882.501306419,0.0 
 01/10  21:00:00,10300821.30332871,0.0,10300821.30332871,0.0 
 01/10  22:00:00,10579994.551328982,0.0,10579994.551328982,0.0 
 01/10  23:00:00,10882664.909893953,0.0,10882664.90989395,0.0 
 01/10  24:00:00,11468937.8437483,0.0,11468937.8437483,0.0 
 01/11  01:00:00,11676636.199627765,0.0,11676636.199627765,0.0 
 01/11  02:00:00,11829999.458551212,0.0,11829999.45855121,0.0 
 01/11  03:00:00,11965417.944339429,0.0,11965417.944339429,0.0 
 01/11  04:00:00,11911935.690740947,0.0,11911935.690740949,0.0 
 01/11  05:00:00,11903662.645523267,0.0,11903662.645523267,0.0 
 01/11  06:00:00,11961306.515581277,0.0,11961306.515581277,0.0 
 01/11  07:00:00,11443758.693376834,0.0,11443758.693376832,0.0 
 01/11  08:00:00,11005974.467771488,0.0,11005974.467771486,0.0 
 01/11  09:00:00,11532231.005940313,0.0,11532231.005940315,0.0 
 01/11  10:00:00,11390837.725398869,0.0,11390837.725398869,0.0 
 01/11  11:00:00,11061752.134609623,0.0,11061736.010738075,0.0 
 01/11  12:00:00,10172980.22998782,0.0,10172917.041333532,0.0 
 01/11  13:00:00,9955734.530596726,0.0,9955734.530596726,0.0 
 01/11  14:00:00,10190496.82403958,0.0,10190496.82403958,0.0 
 01/11  15:00:00,10079301.951589544,0.0,10079284.383750454,0.0 
 01/11  16:00:00,10075926.419998134,0.0,10075926.419998134,0.0 
 01/11  17:00:00,9761185.43771505,0.0,9761163.833417342,0.0 
 01/11  18:00:00,9827314.33447399,0.0,9827314.33447399,0.0 
 01/11  19:00:00,10180920.5460852,0.0,10180920.5460852,0.0 
 01/11  20:00:00,10088813.272246765,0.0,10088813.272246765,0.0 
 01/11  21:00:00,10749597.353505327,0.0,10749597.353505327,0.0 
 01/11  22:00:00,10847484.56723806,0.0,10847484.567238063,0.0 
 01/11  23:00:00,11125881.320524972,0.0,11125881.320524972,0.0 
 01/11  24:00:00,11753785.44212065,0.0,11753785.442120653,0.0 
 01/12  01:00:00,11924051.310928364,0.0,11924051.310928364,0.0 
 01/12  02:00:00,12006416.643408861,0.0,12006416.643408861,0.0 
 01/12  03:00:00,12021525.352811154,0.0,12021525.352811153,0.0 
 01/12  04:00:00,12085824.370056775,0.0,12085824.37005677,0.0 
 01/12  05:00:00,12117113.40777863,0.0,12117113.40777863,0.0 
 01/12  06:00:00,12126380.324642811,0.0,12126380.32464281,0.0 
